Sr. No.,COSO Component,Sub-Process Name,Risk ID,Risk Description,Control Objective,Control Activity,Financial Statement Assertion,Control Type,Manual / Automated,Control Frequency,Design Deficiency (Yes/No),Design Deficiency Description,Operating Effectiveness Deficiency (Yes/No),Operating Deficiency Description,Process Owner (Department),Reference (COSO Principle)
13,Control Activities,Confirmation of Receipts,CA02,Inadequate selection and development of general controls over technology.,Select appropriate general controls over technology.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on selecting and developing general controls over technology.,,,Finance,
14,Control Activities,Confirmation of Receipts,CA03,Inadequate deployment through policies and procedures.,Deploy control activities effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on deploying control activities through policies and procedures.,,,Finance,
15,Information and Communication,Confirmation of Receipts,IC01,Inadequate use of relevant information.,Use relevant information effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on using relevant information effectively.,,,Finance,
16,Information and Communication,Confirmation of Receipts,IC02,Inadequate internal communication.,Communicate internally effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on communicating internally effectively.,,,Finance,
17,Information and Communication,Confirmation of Receipts,IC03,Inadequate external communication.,Communicate externally effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on communicating externally effectively.,,,Finance,
18,Monitoring Activities,Confirmation of Receipts,MA01,Inadequate ongoing and/or separate evaluations.,Conduct ongoing and/or separate evaluations effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on conducting ongoing and/or separate evaluations.,,,Finance,
19,Monitoring Activities,Confirmation of Receipts,MA02,Inadequate evaluation and communication of deficiencies.,Evaluate and communicate deficiencies effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on evaluating and communicating deficiencies.,,,Finance,
20,Control Environment,Travel Card Indent Process,CE1,Lack of clear commitment to integrity and ethical values in the travel card indent process.,Ensure adherence to integrity and ethical standards.,Establish a code of conduct for employees involved in the travel card indent process.,,Preventive,Manual,Annual,Yes,The SOP does not explicitly mention a code of conduct or ethical standards for employees involved in the travel card indent process.,,,Finance,Principle 1
21,Control Environment,Travel Card Indent Process,CE2,"No clear structure, authority, or responsibility established for the travel card indent process.",Establish a structured and accountable framework for the travel card indent process.,Define roles and responsibilities for individuals involved in the travel card indent process.,,Preventive,Manual,Annual,Yes,The SOP does not clearly define roles and responsibilities for individuals involved in the travel card indent process.,,,Finance,Principle 3
22,Control Environment,Travel Card Settlement Process,CE01,Lack of clear commitment to integrity and ethical values in the travel card settlement process.,Ensure all employees adhere to ethical standards during travel card settlements.,Establish a code of conduct for travel card usage and enforce it through training sessions.,,Preventive,Manual,Quarterly,Yes,The SOP lacks specific details on how to enforce the code of conduct and ensure adherence.,,,Finance,Principle 1
23,Control Environment,Travel Card Settlement Process,CE02,Insufficient oversight by the board on travel card settlement practices.,Ensure the board is informed and involved in the oversight of travel card settlements.,The board should review and approve policies related to travel cards annually.,,Preventive,Manual,Annually,Yes,The SOP does not mention any board oversight or review process for travel card settlements.,,,Finance,Principle 2
24,Control Environment,Remittance Transaction Flow,REMIT_ENV_01,Lack of clear commitment to integrity and ethical values in remittance transactions.,Ensure adherence to ethical standards in remittance processing.,Establish a code of conduct for remittance processing staff.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
25,Control Environment,Remittance Transaction Flow,REMIT_ENV_02,Insufficient oversight responsibility for remittance transactions.,Ensure effective oversight of remittance processing activities.,Designate a senior finance executive to oversee remittance transactions.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
26,Control Environment,Remittance Transaction Flow,REMIT_ENV_03,"Inadequate structure, authority, and responsibility for remittance processing.",Establish clear roles and responsibilities in remittance transactions.,Define job descriptions and reporting lines for remittance processing staff.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
27,Control Environment,Remittance Transaction Flow,REMIT_ENV_04,Lack of commitment to competence in remittance processing.,Ensure that staff are competent and trained for remittance transactions.,Conduct regular training sessions on remittance procedures.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
28,Control Environment,Remittance Transaction Flow,REMIT_ENV_05,Inadequate enforcement of accountability in remittance processing.,Ensure that staff are held accountable for remittance transactions.,Implement a system to track and monitor remittance processing activities.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
29,Risk Assessment,Remittance Transaction Flow,REMIT_RISK_01,Failure to specify suitable objectives for remittance transactions.,Ensure that the objectives of remittance processing are clearly defined and aligned with business goals.,Document clear objectives for remittance transactions in a formal document.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
30,Risk Assessment,Remittance Transaction Flow,REMIT_RISK_02,Inadequate identification and analysis of risks in remittance transactions.,Identify and analyze potential risks associated with remittance processing activities.,"Conduct a risk assessment for remittance transactions, documenting identified risks.","Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
31,Risk Assessment,Remittance Transaction Flow,REMIT_RISK_03,Insufficient assessment of fraud risk in remittance transactions.,Assess and mitigate the risk of fraud in remittance processing activities.,Implement controls to prevent unauthorized access or tampering with remittance records.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
32,Risk Assessment,Remittance Transaction Flow,REMIT_RISK_04,Failure to identify and analyze significant changes in remittance processing.,Identify and respond to significant changes that may impact remittance transactions.,Monitor for any significant changes in remittance processes and update procedures accordingly.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
33,Control Activities,Remittance Transaction Flow,REMIT_CTRL_01,Lack of selection and development of control activities for remittance transactions.,Ensure that appropriate controls are in place to manage risks associated with remittance processing.,Develop a comprehensive set of policies and procedures for remittance transactions.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
34,Control Activities,Remittance Transaction Flow,REMIT_CTRL_02,Inadequate selection and development of general controls over technology for remittance transactions.,Ensure that the use of technology in remittance processing is controlled effectively.,Implement access controls to restrict unauthorized access to remittance systems.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
35,Control Activities,Remittance Transaction Flow,REMIT_CTRL_03,Inadequate deployment of policies and procedures for remittance transactions.,Ensure that policies and procedures are effectively deployed to manage risks in remittance processing.,Conduct regular audits to ensure compliance with remittance transaction policies and procedures.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
36,Information and Communication,Remittance Transaction Flow,REMIT_INFO_01,Inadequate use of relevant information in remittance processing.,Ensure that the right information is used to manage risks associated with remittance transactions.,Implement a system for tracking and sharing remittance transaction data.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
37,Information and Communication,Remittance Transaction Flow,REMIT_INFO_02,Inadequate internal communication regarding remittance transactions.,Ensure that all relevant parties are informed about remittance processing activities.,Establish a communication protocol for reporting and updating on remittance transactions.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
38,Information and Communication,Remittance Transaction Flow,REMIT_INFO_03,Inadequate external communication regarding remittance transactions.,Ensure that all relevant parties are informed about remittance processing activities.,Establish a communication protocol for reporting and updating on remittance transactions.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
39,Monitoring Activities,Remittance Transaction Flow,REMIT_MON_01,Lack of ongoing and separate evaluations for remittance transactions.,Ensure that remittance processing activities are regularly evaluated to identify deficiencies.,Conduct regular audits and reviews of remittance transaction processes.,"Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
40,Monitoring Activities,Remittance Transaction Flow,REMIT_MON_02,Failure to evaluate and communicate deficiencies in remittance processing.,Ensure that any identified deficiencies in remittance transactions are evaluated and communicated effectively.,"Document findings from audits and reviews, and communicate them to relevant parties.","Integrity, Fair Presentation",Preventive,Automated,Monthly,No,,,,Finance,
41,Control Environment,Remittance Settlement Process,RE001,Lack of clear commitment to integrity and ethical values in remittance settlement process.,Ensure adherence to ethical standards in remittance settlements.,Establish a code of conduct for employees involved in the remittance process.,Integrity,Preventive,Manual,Ongoing,Yes,The SOP does not specify a code of conduct for employees involved in the remittance process.,,,Finance,Principle 1
42,Control Environment,Remittance Settlement Process,RE002,No clear accountability for remittance settlement process.,Ensure accountability in the remittance settlement process.,Assign specific roles and responsibilities to individuals involved in the remittance process.,Accuracy,Preventive,Manual,Ongoing,Yes,The SOP does not specify roles and responsibilities for individuals involved in the remittance process.,,,Finance,Principle 5
43,Risk Assessment,Remittance Settlement Process,RE003,Insufficient risk assessment of remittance settlement process.,Conduct a thorough risk assessment for the remittance settlement process.,"Identify and analyze risks associated with remittance settlements, including fraud potential.",Completeness,Preventive,Manual,Ongoing,Yes,The SOP does not mention any risk assessment for the remittance settlement process.,,,Finance,Principle 7
44,Control Activities,Remittance Settlement Process,RE004,Lack of segregation of duties in remittance settlement process.,Ensure segregation of duties to prevent fraud and errors.,Implement a system where the person responsible for receiving payments does not have access to the funds or records related to those payments.,Completeness,Preventive,Manual,Ongoing,Yes,The SOP does not specify segregation of duties for the remittance settlement process.,,,Finance,Principle 10
45,Control Activities,Remittance Settlement Process,RE005,No authorization limits for remittance payments.,Ensure that all remittance payments are authorized within predefined limits.,Establish and document authorization limits for remittance payments.,Accuracy,Preventive,Manual,Ongoing,Yes,The SOP does not specify authorization limits for remittance payments.,,,Finance,Principle 10
46,Control Activities,Remittance Settlement Process,RE006,Lack of reconciliation in remittance settlement process.,Ensure accurate and timely reconciliation of remittance settlements.,Conduct regular reconciliations between the bank statements and ERP records for remittance payments.,Completeness,Preventive,Automated,Monthly,No,,,,Finance,Principle 12
47,Information and Communication,Remittance Settlement Process,RE007,Insufficient communication regarding remittance settlements.,Ensure clear and timely communication about remittance settlements.,Maintain a communication log for all transactions related to remittance settlements.,Accuracy,Preventive,Manual,Ongoing,No,,,,Finance,Principle 14
48,Monitoring Activities,Remittance Settlement Process,RE008,No ongoing monitoring of remittance settlements.,Ensure continuous monitoring of the remittance settlement process to detect and prevent errors or fraud.,Conduct regular audits on remittance settlements to identify any discrepancies or irregularities.,Completeness,Detective,Manual,Quarterly,No,,,,Audit,Principle 16
49,Monitoring Activities,Remittance Settlement Process,RE009,No separate evaluations of remittance settlements.,Conduct a separate evaluation to assess the effectiveness and efficiency of the remittance settlement process.,Conduct an independent review of the remittance settlement process at least once per year.,Accuracy,Detective,Manual,Yearly,No,,,,Audit,Principle 17
50,Control Environment,Remittance Reconciliation Process,RE001,Lack of clear commitment to integrity and ethical values in remittance reconciliation process.,Ensure adherence to ethical standards in the remittance reconciliation process.,Establish a code of conduct for employees involved in remittance reconciliation.,,Preventive,Manual,Quarterly,Yes,The SOP does not specify a code of conduct or ethical guidelines for remittance reconciliation.,,,Finance,
51,Control Environment,Remittance Reconciliation Process,RE002,"No clear structure, authority, and responsibility established for remittance reconciliation.",Establish a structured process with defined roles and responsibilities in the remittance reconciliation.,Define roles and responsibilities for each step of the remittance reconciliation process.,,Preventive,Manual,Monthly,Yes,The SOP does not specify roles and responsibilities for the remittance reconciliation process.,,,Finance,
52,Risk Assessment,Remittance Reconciliation Process,RE003,No specific objectives defined for remittance reconciliation process.,Define clear and measurable objectives for the remittance reconciliation process.,Identify key performance indicators (KPIs) for remittance reconciliation.,,Preventive,Manual,Quarterly,Yes,The SOP does not specify objectives or KPIs for the remittance reconciliation process.,,,Finance,
53,Risk Assessment,Remittance Reconciliation Process,RE004,No analysis of risks associated with remittance reconciliation.,Identify and analyze potential risks in the remittance reconciliation process.,Conduct a risk assessment for each step of the remittance reconciliation process.,,Preventive,Manual,Quarterly,Yes,The SOP does not mention any risk assessment for the remittance reconciliation process.,,,Finance,
54,Control Activities,Remittance Reconciliation Process,RE005,No selection of control activities for remittance reconciliation.,Select appropriate control activities to ensure accuracy and completeness in the remittance reconciliation process.,Implement a systematic approach to reconcile remittances with bank statements.,,Preventive,Manual,Monthly,No,,,,Finance,
55,Control Activities,Remittance Reconciliation Process,RE006,No general controls over technology for remittance reconciliation.,Ensure the use of appropriate technology to support control activities in the remittance reconciliation process.,Use automated tools for reconciling remittances with bank statements.,,Preventive,Automated,Monthly,No,,,,Finance,
56,Information and Communication,Remittance Reconciliation Process,RE007,No use of relevant information in the remittance reconciliation process.,Ensure that all necessary information is available for accurate remittance reconciliation.,Maintain up-to-date records and documentation related to remittances.,,Preventive,Manual,Monthly,Yes,The SOP does not mention maintaining up-to-date records and documentation related to remittances.,,,Finance,
57,Information and Communication,Remittance Reconciliation Process,RE008,No internal communication for the remittance reconciliation process.,Ensure clear communication within the organization regarding the remittance reconciliation process.,Hold regular meetings to discuss progress and issues related to remittance reconciliation.,,Preventive,Manual,Monthly,Yes,The SOP does not mention regular meetings to discuss progress and issues related to remittance reconciliation.,,,Finance,
58,Monitoring Activities,Remittance Reconciliation Process,RE009,No ongoing evaluation of remittance reconciliation process.,Conduct regular evaluations to ensure the effectiveness and efficiency of the remittance reconciliation process.,Perform periodic reviews of remittance reconciliation procedures.,,Preventive,Manual,Quarterly,Yes,The SOP does not mention periodic reviews of remittance reconciliation procedures.,,,Finance,
59,Monitoring Activities,Remittance Reconciliation Process,RE010,No separate evaluations of remittance reconciliation process.,Conduct independent assessments to ensure the accuracy and completeness of the remittance reconciliation process.,Engage external auditors for periodic reviews of remittance reconciliation procedures.,,Preventive,Manual,Annually,Yes,The SOP does not mention engaging external auditors for periodic reviews of remittance reconciliation procedures.,,,Finance,
60,Control Environment,Deal Cancellation Process,RE001,Lack of clear authorization for deal cancellations.,Ensure proper authorization and documentation for deal cancellations.,Designated personnel must approve all deal cancellations.,"Completeness, Accuracy",Preventive,Manual,Daily,No,,,,Finance,
61,Control Environment,Deal Cancellation Process,RE002,Potential for unauthorized deal cancellations.,Ensure all deal cancellations are authorized and documented.,Designated personnel must approve all deal cancellations.,"Completeness, Accuracy",Preventive,Manual,Daily,No,,,,Finance,
62,Risk Assessment,Deal Cancellation Process,RA001,Failure to identify and analyze potential risks associated with deal cancellations.,"Identify, assess, and mitigate risks related to deal cancellations.",Conduct regular risk assessments for the deal cancellation process.,Completeness,Preventive,Manual,Monthly,No,,,,Risk Management,
63,Control Activities,Deal Cancellation Process,CA001,Lack of proper documentation for deal cancellations.,Ensure all deal cancellations are properly documented and recorded.,Designated personnel must document each deal cancellation in the system.,"Completeness, Accuracy",Preventive,Automated,Daily,No,,,,Finance,
64,Control Activities,Deal Cancellation Process,CA002,Potential for errors in the documentation of deal cancellations.,Ensure accurate and error-free documentation of deal cancellations.,Designated personnel must verify each deal cancellation entry before finalizing it.,"Completeness, Accuracy",Preventive,Automated,Daily,No,,,,Finance,
65,Information and Communication,Deal Cancellation Process,IC001,Inadequate communication regarding deal cancellation procedures.,Ensure all employees are aware of the proper procedure for dealing with deal cancellations.,Regular training sessions on deal cancellation procedures.,"Completeness, Accuracy",Preventive,Automated,Quarterly,No,,,,Training and Development,
66,Monitoring Activities,Deal Cancellation Process,MA001,Lack of ongoing monitoring for deal cancellation processes.,Ensure continuous monitoring and evaluation of the deal cancellation process.,Regular audits to verify compliance with deal cancellation procedures.,"Completeness, Accuracy",Detective,Automated,Monthly,No,,,,Internal Audit,
67,Monitoring Activities,Deal Cancellation Process,MA002,Inadequate evaluation of deal cancellation processes.,Ensure the effectiveness and efficiency of deal cancellation procedures are regularly evaluated.,Conduct regular evaluations to assess the performance of the deal cancellation process.,"Completeness, Accuracy",Detective,Automated,Quarterly,No,,,,Internal Audit,
68,Control Environment,Agent commission payout,CE001,Lack of clear commitment to integrity and ethical values in the agent commission payout process.,Ensure adherence to ethical standards for agent commission payouts.,"Establish a written policy on ethical practices related to agent commissions, ensuring all employees are aware and sign off on it.",Fair presentation,Preventive,Manual,Quarterly review,Yes,The SOP is silent on the ethical standards for agent commission payouts.,,,Finance,Principle 1
69,Control Environment,Agent commission payout,CE002,No clear accountability for agent commission payouts.,Ensure accountability in the agent commission payout process.,"Designate a specific individual or team responsible for approving and disbursing agent commissions, ensuring they are accountable for their actions.",Fair presentation,Preventive,Manual,Monthly review,Yes,The SOP does not specify who is responsible for approving and disbursing agent commissions.,,,Finance,Principle 5
70,Risk Assessment,Agent commission payout,RA001,Potential for fraud in the agent commission payout process.,Reduce the risk of fraud in the agent commission payout process.,Implement a dual-signature approval process for all agent commission payouts to prevent unauthorized payments.,Fair presentation,Preventive,Automated,Real-time,No,,,,Finance,Principle 7
71,Risk Assessment,Agent commission payout,RA002,Inadequate risk assessment of the agent commission payout process.,Conduct a thorough risk assessment for the agent commission payout process to identify and mitigate potential risks.,"Conduct regular reviews of the agent commission payout process, including fraud risk assessments, to ensure it remains effective in mitigating risks.",Fair presentation,Preventive,Automated,Quarterly review,No,,,,Finance,Principle 7
72,Control Activities,Agent commission payout,CA001,No segregation of duties in the agent commission payout process.,Ensure proper segregation of duties to prevent unauthorized access and manipulation of agent commissions.,"Implement a system where the approval of agent commissions is separated from the disbursing function, ensuring no single individual can approve and disburse payments without oversight.",Fair presentation,Preventive,Automated,Real-time,No,,,,Finance,Principle 10
73,Control Activities,Agent commission payout,CA002,Inadequate authorization limits for agent commission payouts.,Ensure that all agent commission payouts are authorized within the appropriate limit.,"Establish clear and documented authorization limits for agent commissions, ensuring they are reviewed and updated regularly to reflect changes in business needs.",Fair presentation,Preventive,Automated,Quarterly review,No,,,,Finance,Principle 10
74,Information and Communication,Agent commission payout,IC001,Inadequate communication regarding agent commission payouts.,Ensure all relevant parties are informed about the process of agent commission payouts.,"Develop and distribute a clear policy document outlining the steps for agent commission payouts, including responsibilities and procedures.",Fair presentation,Preventive,Automated,Annual review,No,,,,Finance,Principle 14
75,Monitoring Activities,Agent commission payout,MA001,No ongoing monitoring of the agent commission payout process.,Ensure continuous monitoring to detect and address any issues in the agent commission payout process.,"Conduct regular audits and reviews of the agent commission payout process, including reconciliations and exception handling.",Fair presentation,Detective,Automated,Monthly review,No,,,,Finance,Principle 16
76,Monitoring Activities,Agent commission payout,MA002,No separate evaluations of the agent commission payout process.,Conduct independent evaluations to assess the effectiveness and efficiency of the agent commission payout process.,"Engage an external auditor or a third-party service provider for periodic evaluations of the agent commission payout process, including compliance with regulatory requirements.",Fair presentation,Detective,Automated,Annual review,No,,,,Finance,Principle 16
