Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
DRY/24-25/309744,2024-10-21 17:15:00,Hydro-Extractor Machinery Lease,Blue Dart & Local Bike Logistics,2331.43,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/308548,2024-10-28 18:01:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,284.32,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/319636,2024-04-23 20:04:00,Dry Cleaning Solvents & Perc,Blue Dart & Local Bike Logistics,764.46,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 05 - Indiranagar (Bangalore),store_exec_delhi
DRY/24-25/LOG-400073,2024-08-12 18:29:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,20081.41,0.0,Inter-branch garment transit claim ref VAN-EXP-246,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/310783,2024-11-12 13:05:00,Hydro-Extractor Machinery Lease,Blue Dart & Local Bike Logistics,1327.22,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/309206,2025-02-19 12:14:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,126.77,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/319551,2024-11-11 10:54:00,Steam Boiler Diesel & LPG,Bharat Petroleum Fuel Corp,921.81,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/317744,2024-04-30 09:34:00,Hydro-Extractor Machinery Lease,Seitz Specialty Chemicals India,755.64,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/316670,2024-07-10 14:40:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,575.02,Routine voucher booking for premium garment care revenue,Central Processing Hub - Noida,store_exec_blr
DRY/24-25/310133,2024-08-16 16:41:00,Hydro-Extractor Machinery Lease,Local Water Tanker Suppliers,495.08,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 05 - Indiranagar (Bangalore),cfo_kapoor
DRY/24-25/314844,2024-11-26 08:25:00,Van Logistics & Fuel Reimbursements,CleanCare Packaging Ltd,1858.79,0.0,Routine voucher booking for van logistics & fuel reimbursements,Branch 07 - Jubilee Hills (Hyderabad),cfo_kapoor
DRY/24-25/308572,2024-06-08 11:49:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1168.75,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/303103,2024-10-31 13:52:00,Staff Salaries & Pressing Wages,Taj & Marriott B2B Hotel Pool,505.94,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 07 - Jubilee Hills (Hyderabad),store_exec_mumbai
DRY/24-25/LOG-400932,2025-03-24 11:10:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,26605.67,0.0,Inter-branch garment transit claim ref VAN-EXP-341,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/321203,2024-12-29 13:56:00,POS Software & Cloud Subscription,Diversey Hygiene Supplies,1228.39,0.0,Routine voucher booking for pos software & cloud subscription,Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/314626,2025-03-24 13:34:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,124.06,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),store_exec_blr
DRY/24-25/320827,2024-07-04 10:47:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3186.05,Routine voucher booking for store front collections (dry clean),Branch 05 - Indiranagar (Bangalore),store_exec_delhi
DRY/24-25/302166,2025-01-16 11:12:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3483.04,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Bhiwandi,store_exec_mumbai
DRY/24-25/322309,2024-11-15 16:39:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,2791.43,Routine voucher booking for premium garment care revenue,Branch 04 - Powai Galleria (Mumbai),store_exec_mumbai
DRY/24-25/319463,2025-03-16 18:01:00,Eco-friendly Detergents & Softeners,Commercial Property Landlord Pool,574.46,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 03 - Bandra West (Mumbai),store_exec_delhi
DRY/24-25/310145,2024-05-19 16:50:00,Staff Salaries & Pressing Wages,Seitz Specialty Chemicals India,827.15,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 04 - Powai Galleria (Mumbai),store_exec_delhi
DRY/24-25/303897,2024-06-24 10:05:00,Electricity & Water Tanker Costs,Bharat Petroleum Fuel Corp,439.75,0.0,Routine voucher booking for electricity & water tanker costs,Branch 06 - Koramangala (Bangalore),cfo_kapoor
DRY/24-25/307776,2024-05-08 16:32:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,508.24,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),cfo_kapoor
DRY/24-25/301503,2024-12-05 10:56:00,Dry Cleaning Solvents & Perc,Buchi Laundry Equipment Lease,6261.72,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/304890,2024-12-23 16:11:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,1240.79,Routine voucher booking for premium garment care revenue,Branch 04 - Powai Galleria (Mumbai),cfo_kapoor
DRY/24-25/312570,2024-09-09 18:55:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,935.55,Routine voucher booking for premium garment care revenue,Central Processing Hub - Noida,store_exec_blr
DRY/24-25/316032,2024-08-02 17:02:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1531.62,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/315725,2024-11-12 17:59:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3404.38,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,store_exec_delhi
DRY/24-25/315665,2024-09-06 16:14:00,Dry Cleaning Solvents & Perc,Direct Walk-in Retail Clients,234.96,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 03 - Bandra West (Mumbai),cfo_kapoor
DRY/24-25/309395,2025-02-17 13:22:00,Eco-friendly Detergents & Softeners,Taj & Marriott B2B Hotel Pool,151.64,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 05 - Indiranagar (Bangalore),central_accts_ananya
DRY/24-25/318891,2024-08-17 13:24:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,411.22,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/311452,2024-10-12 09:45:00,Hydro-Extractor Machinery Lease,Local Water Tanker Suppliers,797.96,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/319312,2025-03-18 11:52:00,Dry Cleaning Solvents & Perc,Commercial Property Landlord Pool,502.73,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/316227,2024-07-23 10:12:00,Eco-friendly Detergents & Softeners,Local Water Tanker Suppliers,401.64,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 05 - Indiranagar (Bangalore),store_exec_delhi
DRY/24-25/LOG-401909,2024-11-19 17:42:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,17925.67,0.0,Inter-branch garment transit claim ref VAN-EXP-639,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/322369,2025-03-15 11:26:00,Dry Cleaning Solvents & Perc,Local Water Tanker Suppliers,1261.86,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 07 - Jubilee Hills (Hyderabad),central_accts_ananya
DRY/24-25/314641,2025-03-20 18:41:00,Electricity & Water Tanker Costs,CleanCare Packaging Ltd,831.27,0.0,Routine voucher booking for electricity & water tanker costs,Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/311261,2025-01-16 18:35:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,701.66,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),store_exec_mumbai
DRY/24-25/301004,2024-07-01 19:39:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,792.59,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/322062,2024-04-20 12:17:00,Staff Salaries & Pressing Wages,Blue Dart & Local Bike Logistics,3863.05,0.0,Routine voucher booking for staff salaries & pressing wages,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/YE-500718,2025-03-24 18:55:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,73430.99,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/321460,2024-08-12 12:19:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,4847.46,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/309728,2024-10-25 08:41:00,Eco-friendly Detergents & Softeners,Direct Walk-in Retail Clients,332.02,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/317301,2024-12-05 08:24:00,Staff Salaries & Pressing Wages,Buchi Laundry Equipment Lease,251.38,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/302932,2024-12-14 20:38:00,Eco-friendly Detergents & Softeners,Bharat Petroleum Fuel Corp,1384.81,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/315796,2025-03-13 12:07:00,Eco-friendly Detergents & Softeners,Bharat Petroleum Fuel Corp,166.46,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/303121,2024-06-04 11:40:00,Van Logistics & Fuel Reimbursements,Bharat Petroleum Fuel Corp,3814.17,0.0,Routine voucher booking for van logistics & fuel reimbursements,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/309448,2024-08-11 18:23:00,Eco-friendly Detergents & Softeners,Commercial Property Landlord Pool,1187.14,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Noida,store_exec_delhi
DRY/24-25/317189,2024-10-12 12:06:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,386.66,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/301063,2024-11-10 14:28:00,Branch Shop Rental,Blue Dart & Local Bike Logistics,337.65,0.0,Routine voucher booking for branch shop rental,Branch 07 - Jubilee Hills (Hyderabad),cfo_kapoor
DRY/24-25/305225,2024-11-18 09:05:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,6420.4,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/302076,2025-01-21 10:05:00,Electricity & Water Tanker Costs,Direct Walk-in Retail Clients,1611.27,0.0,Routine voucher booking for electricity & water tanker costs,Branch 04 - Powai Galleria (Mumbai),store_exec_delhi
DRY/24-25/318598,2024-04-29 09:35:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,444.02,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/322120,2024-09-16 19:13:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,577.07,Routine voucher booking for premium garment care revenue,Central Processing Hub - Noida,store_exec_blr
DRY/24-25/311970,2024-11-03 15:18:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,914.94,Routine voucher booking for premium garment care revenue,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/319003,2024-09-11 12:17:00,Branch Shop Rental,Blue Dart & Local Bike Logistics,392.35,0.0,Routine voucher booking for branch shop rental,Branch 02 - South Extension (Delhi),store_exec_blr
DRY/24-25/302378,2024-06-24 14:20:00,Eco-friendly Detergents & Softeners,Seitz Specialty Chemicals India,869.54,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Noida,central_accts_ananya
DRY/24-25/308074,2024-05-02 16:34:00,Steam Boiler Diesel & LPG,Seitz Specialty Chemicals India,435.64,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/300764,2024-11-29 16:27:00,Eco-friendly Detergents & Softeners,Direct Walk-in Retail Clients,583.08,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 06 - Koramangala (Bangalore),store_exec_delhi
DRY/24-25/310483,2024-09-18 17:03:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,1369.71,Routine voucher booking for premium garment care revenue,Branch 04 - Powai Galleria (Mumbai),cfo_kapoor
DRY/24-25/YE-500892,2025-03-26 20:07:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,115720.56,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/312181,2024-12-31 09:44:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,136.33,Routine voucher booking for commercial hotel laundry b2b,Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/308789,2024-12-18 11:14:00,Dry Cleaning Solvents & Perc,Seitz Specialty Chemicals India,449.26,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/315285,2024-04-12 17:16:00,Branch Shop Rental,Diversey Hygiene Supplies,337.19,0.0,Routine voucher booking for branch shop rental,Branch 07 - Jubilee Hills (Hyderabad),central_accts_ananya
DRY/24-25/320864,2024-09-30 09:01:00,Electricity & Water Tanker Costs,Direct Walk-in Retail Clients,7851.22,0.0,Routine voucher booking for electricity & water tanker costs,Central Processing Hub - Noida,store_exec_blr
DRY/24-25/319655,2024-08-02 16:40:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3632.44,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/301233,2024-04-04 10:41:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1664.41,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/316717,2024-10-10 10:46:00,Hanger & Poly-Packaging Purchase,Diversey Hygiene Supplies,822.73,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/318787,2024-07-27 13:30:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1478.35,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,central_accts_ananya
DRY/24-25/317059,2024-04-27 14:34:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,2919.19,Routine voucher booking for premium garment care revenue,Branch 07 - Jubilee Hills (Hyderabad),cfo_kapoor
DRY/24-25/317694,2024-11-21 19:46:00,Hydro-Extractor Machinery Lease,State Electricity Board,1012.9,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/304624,2024-05-09 10:19:00,Dry Cleaning Solvents & Perc,Bharat Petroleum Fuel Corp,1634.59,0.0,Routine voucher booking for dry cleaning solvents & perc,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/304686,2024-10-24 20:42:00,Dry Cleaning Solvents & Perc,Blue Dart & Local Bike Logistics,206.63,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 01 - Connaught Place (Delhi),store_exec_delhi
DRY/24-25/303053,2024-10-18 10:17:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1008.1,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/319045,2025-03-19 20:23:00,Eco-friendly Detergents & Softeners,Taj & Marriott B2B Hotel Pool,1593.85,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 07 - Jubilee Hills (Hyderabad),store_exec_delhi
DRY/24-25/307314,2024-07-23 10:16:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,2626.18,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/314824,2024-06-18 13:37:00,Branch Shop Rental,Blue Dart & Local Bike Logistics,474.33,0.0,Routine voucher booking for branch shop rental,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/306787,2024-09-03 15:23:00,Dry Cleaning Solvents & Perc,Commercial Property Landlord Pool,284.29,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 06 - Koramangala (Bangalore),store_exec_delhi
DRY/24-25/308396,2024-06-26 20:28:00,Eco-friendly Detergents & Softeners,Commercial Property Landlord Pool,387.77,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 07 - Jubilee Hills (Hyderabad),central_accts_ananya
DRY/24-25/305182,2024-11-02 17:27:00,Electricity & Water Tanker Costs,Taj & Marriott B2B Hotel Pool,403.89,0.0,Routine voucher booking for electricity & water tanker costs,Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/302939,2024-10-09 12:29:00,Dry Cleaning Solvents & Perc,CleanCare Packaging Ltd,588.07,0.0,Routine voucher booking for dry cleaning solvents & perc,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/316823,2025-01-27 15:51:00,Electricity & Water Tanker Costs,CleanCare Packaging Ltd,848.13,0.0,Routine voucher booking for electricity & water tanker costs,Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/305029,2024-11-13 12:28:00,Dry Cleaning Solvents & Perc,Commercial Property Landlord Pool,1475.42,0.0,Routine voucher booking for dry cleaning solvents & perc,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/313872,2025-01-09 16:00:00,Branch Shop Rental,Local Water Tanker Suppliers,4853.53,0.0,Routine voucher booking for branch shop rental,Branch 05 - Indiranagar (Bangalore),central_accts_ananya
DRY/24-25/LOG-401284,2024-05-30 17:05:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,18270.72,0.0,Inter-branch garment transit claim ref VAN-EXP-356,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/317398,2024-09-08 19:46:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1900.1,Routine voucher booking for commercial hotel laundry b2b,Branch 05 - Indiranagar (Bangalore),store_exec_blr
DRY/24-25/313238,2025-02-06 12:59:00,Electricity & Water Tanker Costs,Diversey Hygiene Supplies,103.89,0.0,Routine voucher booking for electricity & water tanker costs,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/313096,2025-02-17 11:33:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,226.83,Routine voucher booking for store front collections (dry clean),Branch 07 - Jubilee Hills (Hyderabad),store_exec_delhi
DRY/24-25/319935,2024-08-18 20:13:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,872.73,Routine voucher booking for commercial hotel laundry b2b,Branch 07 - Jubilee Hills (Hyderabad),central_accts_ananya
DRY/24-25/YE-500207,2025-03-13 21:37:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,191606.02,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
