Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
RET/24-25/114905,2024-09-02 11:20:00,Customer Sales Returns & Refunds,UPI / Card Swipes,0.0,5842.08,Being customer sales returns & refunds recorded for UPI / Card Swipes,Grocery Section,store_mgr_sharma
RET/24-25/108223,2024-07-05 20:14:00,POS Cash Sales,Walk-in Customer,0.0,2402.5,Being pos cash sales recorded for Walk-in Customer,Dairy Section,store_mgr_sharma
RET/24-25/102868,2025-03-19 14:37:00,POS Cash Sales,Walk-in Customer,0.0,2684.53,Being pos cash sales recorded for Walk-in Customer,Grocery Section,store_mgr_sharma
RET/24-25/102342,2024-09-23 12:19:00,POS Cash Sales,Walk-in Customer,0.0,2539.25,Being pos cash sales recorded for Walk-in Customer,Express Checkout,accountant_verma
RET/24-25/108832,2024-09-19 12:48:00,POS Cash Sales,Walk-in Customer,0.0,711.46,Being pos cash sales recorded for Walk-in Customer,Grocery Section,cashier_rahul
RET/24-25/107932,2025-03-17 21:05:00,Security & Housekeeping,SafeGuard Security Agency,1067.38,0.0,Being security & housekeeping recorded for SafeGuard Security Agency,Retail Counter 2,cashier_rahul
RET/24-25/116557,2024-09-07 13:14:00,POS Cash Sales,Walk-in Customer,0.0,140.63,Being pos cash sales recorded for Walk-in Customer,Retail Counter 2,cashier_rahul
RET/24-25/120604,2025-02-09 10:59:00,Shop Rent & Maintenance,Cashier Petty Cash Pool,692.31,0.0,Being shop rent & maintenance recorded for Cashier Petty Cash Pool,Grocery Section,store_mgr_sharma
RET/24-25/112983,2024-07-07 18:36:00,Petty Cash Expenses,QuickMart Distributor,3743.6,0.0,Being petty cash expenses recorded for QuickMart Distributor,Retail Counter 2,store_mgr_sharma
RET/24-25/103014,2025-02-20 17:11:00,POS Cash Sales,Walk-in Customer,0.0,627.23,Being pos cash sales recorded for Walk-in Customer,Express Checkout,cashier_rahul
RET/24-25/RND-201831,2024-11-23 18:33:00,Petty Cash Expenses,Cashier Petty Cash Pool,100000.0,0.0,Urgent cash settlement round voucher - Petty Cash Expenses,Back Office,cashier_amit
RET/24-25/112124,2024-09-11 14:09:00,Vendor Purchase - Staples,Parle & Britannia Agency,4308.5,0.0,Being vendor purchase - staples recorded for Parle & Britannia Agency,Store Godown,cashier_amit
RET/24-25/103752,2025-01-01 11:55:00,UPI / Card Collections,Walk-in Customer,0.0,6827.37,Being upi / card collections recorded for Walk-in Customer,Dairy Section,store_mgr_sharma
RET/24-25/RND-201887,2024-11-08 19:30:00,Shop Rent & Maintenance,Cashier Petty Cash Pool,75000.0,0.0,Urgent cash settlement round voucher - Shop Rent & Maintenance,Back Office,cashier_amit
RET/24-25/112335,2025-03-24 15:26:00,UPI / Card Collections,UPI / Card Swipes,0.0,242.6,Being upi / card collections recorded for UPI / Card Swipes,Grocery Section,cashier_rahul
RET/24-25/111544,2024-05-13 17:42:00,Freight & Local Cartage,Amul Dairy Dist.,1706.02,0.0,Being freight & local cartage recorded for Amul Dairy Dist.,Express Checkout,cashier_priya
RET/24-25/111356,2025-03-31 10:18:00,Vendor Purchase - Staples,Metro Cash & Carry,1435.69,0.0,Being vendor purchase - staples recorded for Metro Cash & Carry,Grocery Section,cashier_rahul
RET/24-25/102676,2025-02-06 13:21:00,POS Cash Sales,Walk-in Customer,0.0,2110.21,Being pos cash sales recorded for Walk-in Customer,Grocery Section,cashier_rahul
RET/24-25/SUN-300838,2024-07-28 22:50:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4512.9,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/SUN-302095,2025-02-16 22:50:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4732.33,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/120747,2025-01-18 17:42:00,Vendor Purchase - Staples,Amul Dairy Dist.,379.91,0.0,Being vendor purchase - staples recorded for Amul Dairy Dist.,Retail Counter 2,cashier_amit
RET/24-25/113375,2025-01-20 09:57:00,UPI / Card Collections,Walk-in Customer,0.0,2290.29,Being upi / card collections recorded for Walk-in Customer,Store Godown,cashier_amit
RET/24-25/117986,2024-09-27 21:26:00,Vendor Purchase - Staples,Amul Dairy Dist.,5635.88,0.0,Being vendor purchase - staples recorded for Amul Dairy Dist.,Retail Counter 2,store_mgr_sharma
RET/24-25/107885,2024-06-01 18:12:00,Customer Sales Returns & Refunds,Walk-in Customer,0.0,2484.52,Being customer sales returns & refunds recorded for Walk-in Customer,Grocery Section,cashier_amit
RET/24-25/113332,2024-07-06 14:29:00,Freight & Local Cartage,Anand Stationary,2528.8,0.0,Being freight & local cartage recorded for Anand Stationary,Retail Counter 2,cashier_amit
RET/24-25/109585,2024-12-14 19:14:00,UPI / Card Collections,Walk-in Customer,0.0,173.01,Being upi / card collections recorded for Walk-in Customer,Express Checkout,accountant_verma
RET/24-25/106332,2024-12-15 14:11:00,Electricity & Utilities,Shree Ganesh Packaging,752.77,0.0,Being electricity & utilities recorded for Shree Ganesh Packaging,Back Office,store_mgr_sharma
RET/24-25/124429,2025-01-12 13:57:00,Freight & Local Cartage,Shree Ganesh Packaging,1059.37,0.0,Being freight & local cartage recorded for Shree Ganesh Packaging,Back Office,cashier_priya
RET/24-25/118079,2024-07-15 19:02:00,Petty Cash Expenses,Sundry Creditors Pool,1523.85,0.0,Being petty cash expenses recorded for Sundry Creditors Pool,Dairy Section,cashier_amit
RET/24-25/105201,2025-03-28 11:58:00,Vendor Purchase - FMCG,Anand Stationary,690.07,0.0,Being vendor purchase - fmcg recorded for Anand Stationary,Grocery Section,cashier_rahul
RET/24-25/100747,2024-04-17 14:52:00,UPI / Card Collections,UPI / Card Swipes,0.0,501.7,Being upi / card collections recorded for UPI / Card Swipes,Store Godown,accountant_verma
RET/24-25/109760,2024-12-20 16:13:00,Vendor Purchase - FMCG,Anand Stationary,211.61,0.0,Being vendor purchase - fmcg recorded for Anand Stationary,Back Office,cashier_priya
RET/24-25/SUN-301712,2024-05-19 23:52:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4549.1,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/119992,2025-03-25 14:21:00,POS Cash Sales,UPI / Card Swipes,0.0,4253.47,Being pos cash sales recorded for UPI / Card Swipes,Dairy Section,cashier_rahul
RET/24-25/123189,2024-04-16 16:49:00,Vendor Purchase - FMCG,Metro Cash & Carry,66062.35,0.0,Being vendor purchase - fmcg recorded for Metro Cash & Carry,Grocery Section,accountant_verma
RET/24-25/RND-200035,2024-04-23 14:26:00,Marketing & Promo Discounts,Cashier Petty Cash Pool,75000.0,0.0,Urgent cash settlement round voucher - Marketing & Promo Discounts,Back Office,cashier_amit
RET/24-25/117963,2024-09-21 18:02:00,POS Cash Sales,UPI / Card Swipes,0.0,3307.18,Being pos cash sales recorded for UPI / Card Swipes,Retail Counter 1,store_mgr_sharma
RET/24-25/125246,2025-01-24 21:43:00,Electricity & Utilities,Amul Dairy Dist.,381.79,0.0,Being electricity & utilities recorded for Amul Dairy Dist.,Grocery Section,cashier_amit
RET/24-25/105081,2024-12-16 15:49:00,Petty Cash Expenses,Sundry Creditors Pool,1598.31,0.0,Being petty cash expenses recorded for Sundry Creditors Pool,Express Checkout,cashier_priya
RET/24-25/109350,2024-08-13 17:26:00,POS Cash Sales,Walk-in Customer,0.0,2043.08,Being pos cash sales recorded for Walk-in Customer,Dairy Section,accountant_verma
RET/24-25/110982,2024-06-05 14:03:00,UPI / Card Collections,Walk-in Customer,0.0,790.1,Being upi / card collections recorded for Walk-in Customer,Express Checkout,accountant_verma
RET/24-25/123621,2025-01-16 15:23:00,POS Cash Sales,Walk-in Customer,0.0,2105.37,Being pos cash sales recorded for Walk-in Customer,Express Checkout,cashier_amit
RET/24-25/113235,2024-11-11 17:01:00,POS Cash Sales,UPI / Card Swipes,0.0,4121.45,Being pos cash sales recorded for UPI / Card Swipes,Store Godown,cashier_priya
RET/24-25/119367,2024-10-03 18:33:00,Staff Welfare & Tea,QuickMart Distributor,1754.46,0.0,Being staff welfare & tea recorded for QuickMart Distributor,Dairy Section,accountant_verma
RET/24-25/101190,2024-11-25 18:02:00,UPI / Card Collections,Walk-in Customer,0.0,1536.08,Being upi / card collections recorded for Walk-in Customer,Back Office,accountant_verma
RET/24-25/100821,2025-02-03 17:52:00,POS Cash Sales,UPI / Card Swipes,0.0,8367.85,Being pos cash sales recorded for UPI / Card Swipes,Back Office,store_mgr_sharma
RET/24-25/115878,2024-05-23 16:27:00,POS Cash Sales,UPI / Card Swipes,0.0,686.39,Being pos cash sales recorded for UPI / Card Swipes,Store Godown,cashier_amit
RET/24-25/120497,2024-09-19 14:48:00,Vendor Purchase - FMCG,Hindustan Consumer Supplies,899.3,0.0,Being vendor purchase - fmcg recorded for Hindustan Consumer Supplies,Retail Counter 2,cashier_amit
RET/24-25/109419,2024-10-21 11:04:00,Vendor Purchase - FMCG,Parle & Britannia Agency,967.91,0.0,Being vendor purchase - fmcg recorded for Parle & Britannia Agency,Dairy Section,cashier_amit
RET/24-25/SUN-300200,2024-04-07 22:39:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4364.2,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/108892,2024-11-21 09:42:00,Staff Welfare & Tea,Cashier Petty Cash Pool,396.79,0.0,Being staff welfare & tea recorded for Cashier Petty Cash Pool,Retail Counter 2,cashier_rahul
RET/24-25/104461,2024-11-27 09:46:00,POS Cash Sales,Walk-in Customer,0.0,14826.49,Being pos cash sales recorded for Walk-in Customer,Retail Counter 2,store_mgr_sharma
RET/24-25/125229,2024-11-18 12:17:00,UPI / Card Collections,Walk-in Customer,0.0,118.41,Being upi / card collections recorded for Walk-in Customer,Back Office,cashier_priya
RET/24-25/SUN-302085,2024-11-10 22:04:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4457.2,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/112606,2024-08-16 10:26:00,Packaging Materials,Sundry Creditors Pool,1956.02,0.0,Being packaging materials recorded for Sundry Creditors Pool,Retail Counter 1,store_mgr_sharma
RET/24-25/RND-200478,2024-11-09 16:36:00,Staff Welfare & Tea,Anand Stationary,50000.0,0.0,Urgent cash settlement round voucher - Staff Welfare & Tea,Back Office,cashier_amit
RET/24-25/119132,2024-07-05 11:50:00,Packaging Materials,Shree Ganesh Packaging,3203.93,0.0,Being packaging materials recorded for Shree Ganesh Packaging,Dairy Section,cashier_rahul
RET/24-25/114740,2024-11-10 17:51:00,Vendor Purchase - FMCG,SafeGuard Security Agency,2711.5,0.0,Being vendor purchase - fmcg recorded for SafeGuard Security Agency,Back Office,cashier_amit
RET/24-25/112146,2024-08-18 17:17:00,POS Cash Sales,UPI / Card Swipes,0.0,5406.42,Being pos cash sales recorded for UPI / Card Swipes,Store Godown,accountant_verma
RET/24-25/102744,2024-10-08 09:32:00,Petty Cash Expenses,Hindustan Consumer Supplies,50.0,0.0,Being petty cash expenses recorded for Hindustan Consumer Supplies,Dairy Section,cashier_amit
RET/24-25/110114,2024-10-15 18:32:00,UPI / Card Collections,Walk-in Customer,0.0,929.3,Being upi / card collections recorded for Walk-in Customer,Retail Counter 1,cashier_rahul
RET/24-25/102383,2024-07-19 11:20:00,UPI / Card Collections,Walk-in Customer,0.0,1257.34,Being upi / card collections recorded for Walk-in Customer,Express Checkout,cashier_amit
RET/24-25/109153,2024-08-14 21:33:00,UPI / Card Collections,UPI / Card Swipes,0.0,2830.56,Being upi / card collections recorded for UPI / Card Swipes,Back Office,cashier_priya
RET/24-25/101406,2024-06-06 11:12:00,POS Cash Sales,Walk-in Customer,0.0,210.96,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,store_mgr_sharma
RET/24-25/116560,2024-04-25 13:06:00,POS Cash Sales,Walk-in Customer,0.0,4074.31,Being pos cash sales recorded for Walk-in Customer,Store Godown,cashier_rahul
RET/24-25/119361,2024-11-14 09:51:00,Customer Sales Returns & Refunds,UPI / Card Swipes,0.0,991.39,Being customer sales returns & refunds recorded for UPI / Card Swipes,Express Checkout,cashier_rahul
RET/24-25/110342,2024-12-19 12:45:00,POS Cash Sales,Walk-in Customer,0.0,574.4,Being pos cash sales recorded for Walk-in Customer,Store Godown,accountant_verma
RET/24-25/RND-202256,2024-08-03 20:08:00,Petty Cash Expenses,Daily Fresh Veggies Co.,20000.0,0.0,Urgent cash settlement round voucher - Petty Cash Expenses,Back Office,cashier_amit
RET/24-25/117614,2024-07-04 21:56:00,Electricity & Utilities,Daily Fresh Veggies Co.,1431.91,0.0,Being electricity & utilities recorded for Daily Fresh Veggies Co.,Express Checkout,cashier_priya
RET/24-25/119906,2024-04-25 14:48:00,Shop Rent & Maintenance,Metro Cash & Carry,269.4,0.0,Being shop rent & maintenance recorded for Metro Cash & Carry,Dairy Section,cashier_amit
RET/24-25/124530,2025-03-22 18:02:00,POS Cash Sales,Walk-in Customer,0.0,1619.04,Being pos cash sales recorded for Walk-in Customer,Retail Counter 2,store_mgr_sharma
RET/24-25/RND-201808,2025-03-18 10:02:00,Staff Welfare & Tea,Cashier Petty Cash Pool,50000.0,0.0,Urgent cash settlement round voucher - Staff Welfare & Tea,Back Office,cashier_amit
RET/24-25/117788,2024-10-18 14:51:00,UPI / Card Collections,UPI / Card Swipes,0.0,291.21,Being upi / card collections recorded for UPI / Card Swipes,Retail Counter 1,store_mgr_sharma
RET/24-25/113075,2025-02-26 21:19:00,Staff Welfare & Tea,Daily Fresh Veggies Co.,585.78,0.0,Being staff welfare & tea recorded for Daily Fresh Veggies Co.,Retail Counter 2,store_mgr_sharma
RET/24-25/122089,2024-08-15 12:01:00,POS Cash Sales,Walk-in Customer,0.0,975.48,Being pos cash sales recorded for Walk-in Customer,Express Checkout,cashier_priya
RET/24-25/SUN-300673,2024-07-21 23:48:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4908.8,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/120568,2025-01-29 18:55:00,Vendor Purchase - FMCG,Rapid Logistics Services,220.35,0.0,Being vendor purchase - fmcg recorded for Rapid Logistics Services,Retail Counter 2,cashier_priya
RET/24-25/117890,2024-10-12 13:35:00,Vendor Purchase - FMCG,Rapid Logistics Services,76.26,0.0,Being vendor purchase - fmcg recorded for Rapid Logistics Services,Retail Counter 1,cashier_amit
RET/24-25/116837,2024-07-30 10:31:00,POS Cash Sales,Walk-in Customer,0.0,550.07,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,accountant_verma
RET/24-25/106552,2025-03-02 09:57:00,POS Cash Sales,Walk-in Customer,0.0,2245.35,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,accountant_verma
RET/24-25/119637,2024-07-25 14:28:00,Petty Cash Expenses,Anand Stationary,2061.47,0.0,Being petty cash expenses recorded for Anand Stationary,Store Godown,accountant_verma
RET/24-25/118294,2024-07-22 12:24:00,UPI / Card Collections,Walk-in Customer,0.0,1224.17,Being upi / card collections recorded for Walk-in Customer,Retail Counter 2,store_mgr_sharma
RET/24-25/102876,2024-08-01 17:38:00,UPI / Card Collections,Walk-in Customer,0.0,396.45,Being upi / card collections recorded for Walk-in Customer,Retail Counter 2,cashier_priya
RET/24-25/102982,2024-05-26 15:14:00,Vendor Purchase - Staples,Parle & Britannia Agency,3471.14,0.0,Being vendor purchase - staples recorded for Parle & Britannia Agency,Express Checkout,accountant_verma
RET/24-25/117410,2024-06-08 12:17:00,POS Cash Sales,Walk-in Customer,0.0,124.54,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,store_mgr_sharma
RET/24-25/115162,2024-06-02 10:27:00,Vendor Purchase - FMCG,City Bright Electricals,50.0,0.0,Being vendor purchase - fmcg recorded for City Bright Electricals,Dairy Section,cashier_rahul
RET/24-25/102153,2024-09-30 17:30:00,POS Cash Sales,Walk-in Customer,0.0,1807.88,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,cashier_amit
RET/24-25/118700,2024-10-06 21:41:00,Vendor Purchase - FMCG,City Bright Electricals,168.46,0.0,Being vendor purchase - fmcg recorded for City Bright Electricals,Retail Counter 1,cashier_priya
RET/24-25/107667,2024-07-17 21:11:00,POS Cash Sales,Walk-in Customer,0.0,713.92,Being pos cash sales recorded for Walk-in Customer,Grocery Section,cashier_rahul
RET/24-25/115243,2024-06-23 20:05:00,POS Cash Sales,UPI / Card Swipes,0.0,3010.66,Being pos cash sales recorded for UPI / Card Swipes,Retail Counter 1,accountant_verma
RET/24-25/116857,2024-12-05 21:10:00,UPI / Card Collections,Walk-in Customer,0.0,2718.94,Being upi / card collections recorded for Walk-in Customer,Store Godown,cashier_amit
RET/24-25/113961,2024-05-11 16:30:00,Vendor Purchase - FMCG,Anand Stationary,2139.16,0.0,Being vendor purchase - fmcg recorded for Anand Stationary,Back Office,store_mgr_sharma
RET/24-25/100217,2024-11-05 19:06:00,UPI / Card Collections,Walk-in Customer,0.0,984.5,Being upi / card collections recorded for Walk-in Customer,Retail Counter 1,cashier_rahul
RET/24-25/123287,2024-09-30 15:28:00,POS Cash Sales,UPI / Card Swipes,0.0,1544.5,Being pos cash sales recorded for UPI / Card Swipes,Retail Counter 2,accountant_verma
RET/24-25/102213,2024-04-13 14:54:00,UPI / Card Collections,UPI / Card Swipes,0.0,744.18,Being upi / card collections recorded for UPI / Card Swipes,Express Checkout,store_mgr_sharma
RET/24-25/106580,2024-06-04 21:04:00,POS Cash Sales,Walk-in Customer,0.0,921.24,Being pos cash sales recorded for Walk-in Customer,Store Godown,cashier_amit
RET/24-25/RND-202102,2024-08-18 16:58:00,Staff Welfare & Tea,Anand Stationary,5000.0,0.0,Urgent cash settlement round voucher - Staff Welfare & Tea,Back Office,cashier_amit
RET/24-25/119376,2024-08-22 11:27:00,Vendor Purchase - FMCG,Sundry Creditors Pool,325.97,0.0,Being vendor purchase - fmcg recorded for Sundry Creditors Pool,Back Office,cashier_priya
RET/24-25/107539,2024-07-02 12:31:00,POS Cash Sales,UPI / Card Swipes,0.0,894.07,Being pos cash sales recorded for UPI / Card Swipes,Back Office,store_mgr_sharma
RET/24-25/114976,2024-10-04 18:03:00,UPI / Card Collections,Walk-in Customer,0.0,384.54,Being upi / card collections recorded for Walk-in Customer,Express Checkout,cashier_amit
RET/24-25/110128,2024-12-04 20:53:00,Petty Cash Expenses,Sundry Creditors Pool,1662.34,0.0,Being petty cash expenses recorded for Sundry Creditors Pool,Back Office,cashier_rahul
RET/24-25/105705,2024-08-05 20:53:00,Vendor Purchase - FMCG,Sundry Creditors Pool,88.99,0.0,Being vendor purchase - fmcg recorded for Sundry Creditors Pool,Back Office,store_mgr_sharma
RET/24-25/105953,2024-04-13 12:58:00,UPI / Card Collections,Walk-in Customer,0.0,3837.1,Being upi / card collections recorded for Walk-in Customer,Store Godown,cashier_priya
RET/24-25/100538,2024-08-30 19:03:00,Petty Cash Expenses,Sundry Creditors Pool,4955.14,0.0,Being petty cash expenses recorded for Sundry Creditors Pool,Retail Counter 2,store_mgr_sharma
RET/24-25/121663,2025-01-04 14:49:00,POS Cash Sales,UPI / Card Swipes,0.0,1639.67,Being pos cash sales recorded for UPI / Card Swipes,Express Checkout,cashier_amit
