Clause ID,Document,Number,Title,Statutory reference,Input type,Firm review status
caro.iii.f,CARO 2020,(iii)(f),Loans granted repayable on demand or without specifying terms or period of repayment,CARO 2020 para 3(iii)(f),select,Approved
caro.iv,CARO 2020,(iv),"Compliance with sections 185 and 186 in respect of loans, investments, guarantees and security",CARO 2020 para 3(iv),select,Approved
caro.v,CARO 2020,(v),Deposits and amounts deemed to be deposits - compliance with sections 73 to 76 and directions of RBI,CARO 2020 para 3(v),select,Approved
caro.vi,CARO 2020,(vi),Maintenance of cost records prescribed under section 148(1),CARO 2020 para 3(vi),select,Approved
caro.vii.a,CARO 2020,(vii)(a),Regularity in depositing undisputed statutory dues; arrears outstanding for more than six months,CARO 2020 para 3(vii)(a),select,Approved
caro.vii.b,CARO 2020,(vii)(b),Statutory dues not deposited on account of dispute - amount and forum where dispute is pending,CARO 2020 para 3(vii)(b),table,Approved
caro.viii,CARO 2020,(viii),Transactions not recorded in the books surrendered or disclosed as income in tax assessments,CARO 2020 para 3(viii); Income Tax Act 1961,select,Approved
caro.ix.a,CARO 2020,(ix)(a),Default in repayment of loans or other borrowings or in payment of interest to any lender,CARO 2020 para 3(ix)(a),select,Approved
caro.ix.b,CARO 2020,(ix)(b),"Whether the company is a declared wilful defaulter by any bank, financial institution or other lender",CARO 2020 para 3(ix)(b),select,Approved
caro.ix.c,CARO 2020,(ix)(c),Whether term loans were applied for the purpose for which they were obtained,CARO 2020 para 3(ix)(c),select,Approved
caro.ix.d,CARO 2020,(ix)(d),Whether short-term funds have been used for long-term purposes,CARO 2020 para 3(ix)(d),select,Approved
caro.ix.e,CARO 2020,(ix)(e),"Funds taken from any entity or person to meet obligations of subsidiaries, associates or joint ventures",CARO 2020 para 3(ix)(e),select,Approved
caro.ix.f,CARO 2020,(ix)(f),"Loans raised on the pledge of securities held in subsidiaries, joint ventures or associate companies",CARO 2020 para 3(ix)(f),select,Approved
caro.x.a,CARO 2020,(x)(a),Money raised by initial or further public offer including debt instruments - application for the purposes raised,CARO 2020 para 3(x)(a),select,Approved
caro.x.b,CARO 2020,(x)(b),Preferential allotment or private placement of shares or convertible debentures - compliance and use of funds,CARO 2020 para 3(x)(b),select,Approved
caro.xi.a,CARO 2020,(xi)(a),Fraud by the company or any fraud on the company noticed or reported during the year,CARO 2020 para 3(xi)(a),select,Approved
caro.xi.b,CARO 2020,(xi)(b),Whether a report under section 143(12) has been filed in Form ADT-4 with the Central Government,CARO 2020 para 3(xi)(b),select,Approved
caro.xi.c,CARO 2020,(xi)(c),Whistle-blower complaints received during the year and considered by the auditor,CARO 2020 para 3(xi)(c),select,Approved
caro.xii.a,CARO 2020,(xii)(a),Nidhi Company - Net Owned Funds to Deposits ratio of 1:20,CARO 2020 para 3(xii)(a),select,Approved
caro.xii.b,CARO 2020,(xii)(b),Nidhi Company - ten per cent unencumbered term deposits to meet liabilities,CARO 2020 para 3(xii)(b),select,Approved
caro.xii.c,CARO 2020,(xii)(c),Nidhi Company - default in payment of interest on deposits or repayment of deposits,CARO 2020 para 3(xii)(c),select,Approved
caro.xiii,CARO 2020,(xiii),Related party transactions - compliance with sections 177 and 188 and disclosure in the financial statements,CARO 2020 para 3(xiii),select,Approved
caro.xiv.a,CARO 2020,(xiv)(a),Whether the company has an internal audit system commensurate with its size and nature of business,CARO 2020 para 3(xiv)(a),select,Approved
caro.xiv.b,CARO 2020,(xiv)(b),Whether internal audit reports for the period were considered by the statutory auditor,CARO 2020 para 3(xiv)(b),select,Approved
caro.xv,CARO 2020,(xv),Non-cash transactions with directors or persons connected with them - compliance with section 192,CARO 2020 para 3(xv),select,Approved
caro.xvi.a,CARO 2020,(xvi)(a),Registration under section 45-IA of the Reserve Bank of India Act 1934 where required,CARO 2020 para 3(xvi)(a),select,Approved
caro.xvi.b,CARO 2020,(xvi)(b),Conduct of Non-Banking Financial or Housing Finance activities without a valid Certificate of Registration,CARO 2020 para 3(xvi)(b),select,Approved
caro.xvi.c,CARO 2020,(xvi)(c),Whether the company is a Core Investment Company and fulfils the prescribed criteria,CARO 2020 para 3(xvi)(c),select,Approved
caro.xvi.d,CARO 2020,(xvi)(d),Number of Core Investment Companies in the Group,CARO 2020 para 3(xvi)(d),numeric,Approved
caro.xvii,CARO 2020,(xvii),Cash losses in the financial year and in the immediately preceding financial year,CARO 2020 para 3(xvii),select,Approved
caro.xviii,CARO 2020,(xviii),Resignation of the statutory auditors during the year and consideration of issues raised by the outgoing auditor,CARO 2020 para 3(xviii),select,Approved
caro.xix,CARO 2020,(xix),Material uncertainty regarding the company's capability of meeting liabilities existing at the balance sheet date as and when they fall due within one year,CARO 2020 para 3(xix),select,Approved
caro.xx.a,CARO 2020,(xx)(a),Unspent CSR amount other than for ongoing projects transferred to a Fund specified in Schedule VII within six months,CARO 2020 para 3(xx)(a); s.135(5),select,Approved
caro.xx.b,CARO 2020,(xx)(b),Amount remaining unspent in respect of ongoing projects transferred to a special account within thirty days,CARO 2020 para 3(xx)(b); s.135(6),select,Approved
caro.xxi,CARO 2020,(xxi),Qualifications or adverse remarks in the CARO reports of companies included in the consolidated financial statements,CARO 2020 para 3(xxi),table,Approved
ifc.applicability,IFC Annexure (s.143(3)(i)),-,Applicability determination and private company exemption,MCA notification dated 13-06-2017 under proviso to s.143(3)(i),computed,Approved
ifc.title,IFC Annexure (s.143(3)(i)),-,Annexure title and cross-reference to the auditor's report paragraph,Guidance Note on Audit of Internal Financial Controls,static,Approved
ifc.scope,IFC Annexure (s.143(3)(i)),-,Scope paragraph - report on internal financial controls with reference to financial statements,s.143(3)(i),static,Approved
ifc.resp.mgmt,IFC Annexure (s.143(3)(i)),-,Management's Responsibility for Internal Financial Controls,Guidance Note on IFC,static,Approved
ifc.resp.auditor,IFC Annexure (s.143(3)(i)),-,Auditor's Responsibility,Guidance Note on IFC; SA 315,static,Approved
ifc.meaning,IFC Annexure (s.143(3)(i)),-,Meaning of Internal Financial Controls with Reference to Financial Statements,Guidance Note on IFC,static,Approved
ifc.limitations,IFC Annexure (s.143(3)(i)),-,Inherent Limitations of Internal Financial Controls,Guidance Note on IFC,static,Approved
ifc.opinion,IFC Annexure (s.143(3)(i)),-,Opinion on internal financial controls,Guidance Note on IFC,select,Approved
ifc.deficiencies,IFC Annexure (s.143(3)(i)),-,Control deficiencies - repeating table,Guidance Note on IFC,table,Approved
ifc.criteria.ref,IFC Annexure (s.143(3)(i)),-,Reference to criteria - essential components of internal control per the ICAI Guidance Note,Guidance Note on IFC,static,Approved
ifc.sig,IFC Annexure (s.143(3)(i)),-,Signature block,SA 700 para 45-49,computed,Approved
bdr.form,Board's Report,-,Report form selector - full or abridged,"Rule 8A, Companies (Accounts) Rules 2014",select,Approved
bdr.annual.return,Board's Report,(a),Web address where the annual return has been placed,s.134(3)(a),text,Approved
bdr.mgt9,Board's Report,-,Extract of the annual return - pointer to Annexure A,"s.92(3). NOT REQUIRED: Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021, including for companies with no website. Reinstated on the partner's express instruction of 20-08-2026, given with that notification in front of them, as a voluntary attachment.",static,Approved
bdr.board.meetings,Board's Report,(b),Number of meetings of the Board,s.134(3)(b),table,Approved
bdr.drs,Board's Report,(c),Directors' Responsibility Statement,s.134(3)(c); s.134(5),static,Approved
bdr.fraud.143.12,Board's Report,(ca),Details in respect of frauds reported by auditors under s.143(12) other than those reportable to the Central Government,s.134(3)(ca),textarea,Approved
bdr.id.declaration,Board's Report,(d),Statement on declaration given by independent directors under s.149(6),s.134(3)(d),textarea,Approved
bdr.nrc.policy,Board's Report,(e),Company's policy on directors' appointment and remuneration under s.178(3),s.134(3)(e),textarea,Approved
bdr.auditor.remarks,Board's Report,(f),"Explanations or comments by the Board on qualifications, reservations or adverse remarks made by the statutory auditor",s.134(3)(f),textarea,Approved
bdr.secretarial.remarks,Board's Report,(f),Explanations or comments by the Board on qualifications made by the company secretary in practice in the secretarial audit report,s.134(3)(f),textarea,Approved
bdr.loans.186,Board's Report,(g),"Particulars of loans, guarantees or investments under section 186",s.134(3)(g),table,Approved
bdr.rpt.188,Board's Report,(h),Particulars of contracts or arrangements with related parties under section 188 - Form AOC-2,s.134(3)(h); Rule 8(2),table,Approved
bdr.state.affairs,Board's Report,(i),State of the company's affairs,s.134(3)(i),textarea,Approved
bdr.reserves,Board's Report,(j),Amounts proposed to be carried to any reserves,s.134(3)(j),currency,Approved
bdr.dividend,Board's Report,(k),Amount recommended to be paid as dividend,s.134(3)(k),currency,Approved
bdr.material.changes,Board's Report,(l),Material changes and commitments affecting the financial position occurring between the end of the financial year and the date of the report,s.134(3)(l),textarea,Approved
bdr.conservation,Board's Report,(m),"Conservation of energy, technology absorption, foreign exchange earnings and outgo",s.134(3)(m); Rule 8(3),table,Approved
bdr.risk.management,Board's Report,(n),Statement indicating development and implementation of a risk management policy,s.134(3)(n),textarea,Approved
bdr.csr,Board's Report,(o),Details about the CSR policy and initiatives - annual report on CSR,"s.134(3)(o); Rule 9, CSR Rules",table,Approved
bdr.board.evaluation,Board's Report,(p),Statement indicating the manner of formal annual evaluation of the performance of the Board,s.134(3)(p),textarea,Approved
bdr.vigil.mechanism,Board's Report,-,Vigil mechanism / whistle-blower policy - establishment and details,"s.177(9); s.177(10); Rule 7, Companies (Meetings of Board and its Powers) Rules 2014",textarea,Approved
bdr.employees.remuneration,Board's Report,-,Particulars of employees and remuneration,"s.197(12); Rule 5, Companies (Appointment and Remuneration of Managerial Personnel) Rules 2014",table,Approved
bdr.maternity,Board's Report,-,Compliance with the provisions of the Maternity Benefit Act 1961,Maternity Benefit Act 1961,select,Approved
bdr.financial.summary,Board's Report,Rule 8(5)(i),Financial summary or highlights,"Rule 8(5)(i), Companies (Accounts) Rules 2014",table,Approved
bdr.nature.business,Board's Report,Rule 8(5)(ii),"Change in the nature of business, if any",Rule 8(5)(ii),select,Approved
bdr.directors.kmp,Board's Report,Rule 8(5)(iii),Directors and Key Managerial Personnel appointed or resigned during the year,Rule 8(5)(iii),computed,Approved
bdr.subsidiaries,Board's Report,Rule 8(5)(iv),"Names of companies which have become or ceased to be subsidiaries, joint ventures or associate companies",Rule 8(5)(iv),table,Approved
bdr.deposits,Board's Report,Rule 8(5)(v),Details relating to deposits covered under Chapter V,Rule 8(5)(v),table,Approved
bdr.deposits.noncompliant,Board's Report,Rule 8(5)(vi),Details of deposits which are not in compliance with the requirements of Chapter V,Rule 8(5)(vi),textarea,Approved
bdr.regulator.orders,Board's Report,Rule 8(5)(vii),"Significant and material orders passed by regulators, courts or tribunals impacting going concern status and future operations",Rule 8(5)(vii),textarea,Approved
bdr.ifc.adequacy,Board's Report,Rule 8(5)(viii),Details in respect of adequacy of internal financial controls with reference to the financial statements,Rule 8(5)(viii),textarea,Approved
bdr.cost.records,Board's Report,Rule 8(5)(ix),Maintenance of cost records as specified under section 148(1),Rule 8(5)(ix),select,Approved
bdr.posh,Board's Report,Rule 8(5)(x),"Statement on compliance with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act 2013",Rule 8(5)(x),textarea,Approved
bdr.ibc,Board's Report,Rule 8(5)(xi),Details of application made or proceeding pending under the Insolvency and Bankruptcy Code 2016,Rule 8(5)(xi),textarea,Approved
bdr.otsettlement,Board's Report,Rule 8(5)(xii),Details of difference between amount of valuation done at the time of one-time settlement and valuation while taking loan from banks or financial institutions,Rule 8(5)(xii),textarea,Approved
bdr.secretarial.audit,Board's Report,-,Secretarial audit report annexure,"s.204; Rule 9, Companies (Appointment and Remuneration of Managerial Personnel) Rules 2014",textarea,Approved
bdr.secretarial.standards,Board's Report,-,Statement on compliance with applicable Secretarial Standards,SS-1 and SS-2 issued by ICSI under s.118(10),textarea,Approved
bdr.sig,Board's Report,-,"Signature block - for and on behalf of the Board, names, DIN, place and date",s.134(6),computed,Approved
mrl.header,Management Representation Letter,-,"Letterhead, date, addressee and reference to the audit engagement",SA 580 para 10,computed,Approved
mrl.resp.fs,Management Representation Letter,-,Management's responsibility for the preparation and presentation of the financial statements,SA 580 para 10(a),static,Approved
mrl.framework,Management Representation Letter,-,Financial statements prepared in accordance with the applicable financial reporting framework,SA 580 para 10(a),computed,Approved
mrl.info.access,Management Representation Letter,-,Provision of all relevant information and access to records and personnel,SA 580 para 11(a),static,Approved
mrl.transactions.recorded,Management Representation Letter,-,All transactions have been recorded and are reflected in the financial statements,SA 580 para 11(b),static,Approved
mrl.estimates,Management Representation Letter,-,Significant assumptions used in making accounting estimates are reasonable,SA 540; SA 580 Appendix 2,textarea,Approved
mrl.related.parties,Management Representation Letter,-,Related party relationships and transactions have been disclosed,SA 550 para 26,static,Approved
mrl.subsequent.events,Management Representation Letter,-,All events subsequent to the balance sheet date requiring adjustment or disclosure have been adjusted or disclosed,SA 560; SA 580 Appendix 2,static,Approved
mrl.uncorrected,Management Representation Letter,-,Effects of uncorrected misstatements are immaterial - summary attached,SA 450 para 14; SA 580 para 14,table,Approved
mrl.fraud.responsibility,Management Representation Letter,-,Acknowledgement of responsibility for internal control to prevent and detect fraud,SA 240 para 39(a),static,Approved
mrl.fraud.disclosure,Management Representation Letter,-,Disclosure of known or suspected fraud and of allegations of fraud,"SA 240 para 39(b), (c), (d)",select,Approved
mrl.laws,Management Representation Letter,-,Disclosure of known instances of non-compliance or suspected non-compliance with laws and regulations,SA 250 para 16,select,Approved
mrl.litigation,Management Representation Letter,-,All known actual or possible litigation and claims have been disclosed and accounted for,SA 501 para 12,select,Approved
mrl.going.concern,Management Representation Letter,-,Plans for future actions and feasibility of those plans in relation to going concern,SA 570 para 16(b),textarea,Approved
mrl.inventory,Management Representation Letter,-,"Existence, condition, quantities and valuation of inventory",SA 501; SA 580 Appendix 2,static,Approved
mrl.title.assets,Management Representation Letter,-,Satisfactory title to all assets and no liens or encumbrances except as disclosed,SA 580 Appendix 2,static,Approved
mrl.contingent,Management Representation Letter,-,All contingent liabilities and commitments have been disclosed,SA 580 Appendix 2; Schedule III,static,Approved
mrl.bank.balances,Management Representation Letter,-,"Completeness of bank accounts and balances, including accounts closed during the year",SA 505; SA 580 Appendix 2,static,Approved
mrl.companies.act,Management Representation Letter,-,Compliance with the applicable provisions of the Companies Act 2013,SA 250; Companies Act 2013,static,Approved
mrl.deposits,Management Representation Letter,-,Compliance with sections 73 to 76 in respect of deposits and amounts deemed to be deposits,ss.73-76,static,Approved
mrl.185.186,Management Representation Letter,-,"Compliance with sections 185 and 186 in respect of loans, investments, guarantees and security","ss.185, 186",static,Approved
mrl.csr,Management Representation Letter,-,Compliance with section 135 in respect of corporate social responsibility obligations,s.135,static,Approved
mrl.audit.trail,Management Representation Letter,-,"Audit trail feature enabled throughout the year, operated, not tampered with, and preserved as per statutory retention","Rule 3(1) proviso, Companies (Accounts) Rules 2014",select,Approved
mrl.benami,Management Representation Letter,-,No proceedings initiated or pending against the company under the Benami Transactions (Prohibition) Act 1988,Benami Transactions (Prohibition) Act 1988,select,Approved
mrl.crypto,Management Representation Letter,-,Transactions in crypto currency or virtual digital assets during the year,"Schedule III Division I/II, General Instructions",select,Approved
mrl.undisclosed.income,Management Representation Letter,-,No transactions surrendered or disclosed as income during tax assessments that are not recorded in the books,Income Tax Act 1961,select,Approved
mrl.ultimate.beneficiary,Management Representation Letter,-,"Representations regarding intermediaries, funding parties and Ultimate Beneficiaries",Rule 11(e),static,Approved
mrl.wilful.defaulter,Management Representation Letter,-,"The company has not been declared a wilful defaulter by any bank, financial institution or other lender",RBI Master Circular on Wilful Defaulters,select,Approved
mrl.struck.off,Management Representation Letter,-,Transactions and balances with companies struck off under s.248 or s.560,"Schedule III Division I/II, General Instructions",select,Approved
mrl.charges,Management Representation Letter,-,Registration and satisfaction of charges with the Registrar of Companies within the statutory period,s.77; Schedule III General Instructions,select,Approved
mrl.layers,Management Representation Letter,-,Compliance with the restriction on the number of layers of subsidiaries,s.2(87) proviso; Companies (Restriction on number of Layers) Rules 2017,select,Approved
mrl.sig,Management Representation Letter,-,Signature block - Managing Director / Director and Chief Financial Officer,SA 580 para 9,computed,Approved
eng.header,Engagement Letter,-,"Addressee, date and reference to appointment under section 139",SA 210 para 10; s.139,computed,Approved
eng.objective,Engagement Letter,-,Objective and scope of the audit of the financial statements,SA 210 para 10(a),static,Approved
eng.resp.auditor,Engagement Letter,-,Responsibilities of the auditor,SA 210 para 10(b),static,Approved
eng.resp.mgmt,Engagement Letter,-,Responsibilities of management and the premise on which the audit is conducted,"SA 210 para 10(c), para 6(b)",static,Approved
eng.framework,Engagement Letter,-,Identification of the applicable financial reporting framework,SA 210 para 10(d),computed,Approved
eng.report.form,Engagement Letter,-,"Expected form and content of reports to be issued, with a caveat that the form may differ",SA 210 para 10(e),static,Approved
eng.limitations,Engagement Letter,-,Inherent limitations of an audit and of internal control,SA 210 para A23,static,Approved
eng.caro.scope,Engagement Letter,-,Reporting under CARO 2020 and Rule 11 of the Companies (Audit and Auditors) Rules 2014,s.143(11); Rule 11,static,Approved
eng.ifc.scope,Engagement Letter,-,Reporting on internal financial controls under section 143(3)(i),s.143(3)(i),static,Approved
eng.independence,Engagement Letter,-,"Independence, eligibility under section 141 and compliance with the ICAI Code of Ethics",s.141; ICAI Code of Ethics,static,Approved
eng.nonaudit,Engagement Letter,-,Restriction on non-audit services under section 144,s.144,static,Approved
eng.fees,Engagement Letter,-,"Fees, basis of billing and out-of-pocket expenses",SA 210 para A24,text,Approved
eng.experts,Engagement Letter,-,"Involvement of auditor's experts, internal auditors and component auditors",SA 620; SA 610; SA 600,static,Approved
eng.confidentiality,Engagement Letter,-,Confidentiality and handling of client data,ICAI Code of Ethics,static,Approved
eng.workpapers,Engagement Letter,-,Ownership and retention of working papers,SQC 1 para 45-47,static,Approved
eng.peer.review,Engagement Letter,-,"Access to working papers for ICAI peer review, quality review and regulatory inspection",ICAI Peer Review Guidelines; NFRA Rules where applicable,static,Approved
eng.udin,Engagement Letter,-,Unique Document Identification Number to be generated for all signed documents,ICAI UDIN Guidelines,static,Approved
eng.duration,Engagement Letter,-,Continuing nature of the engagement and circumstances requiring a revised engagement letter,SA 210 para 13; para A28-A31,static,Approved
eng.liability,Engagement Letter,-,Limitation of liability,-,static,Approved
eng.governing.law,Engagement Letter,-,Governing law and dispute resolution,-,static,Approved
eng.acknowledgement,Engagement Letter,-,Acknowledgement and countersignature by those charged with governance,SA 210 para 10,computed,Approved
mgt9.header,Annexure A - MGT-9,-,"Form MGT-9","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",static,Approved
mgt9.registration,Annexure A - MGT-9,-,"I. Registration and Other Details","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",static,Approved
mgt9.activities,Annexure A - MGT-9,-,"II. Principal Business Activities","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.group,Annexure A - MGT-9,-,"III. Holding, Subsidiary and Associate Companies","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",static,Approved
mgt9.shareholding.category,Annexure A - MGT-9,-,"IV(A). Category-wise Shareholding","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.shareholding.promoters,Annexure A - MGT-9,-,"IV(B). Shareholding of Promoters","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.shareholding.change,Annexure A - MGT-9,-,"IV(C). Change in Promoters' Shareholding","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.shareholding.topten,Annexure A - MGT-9,-,"IV(D). Shareholding of Top Ten Shareholders","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.shareholding.directors,Annexure A - MGT-9,-,"IV(E). Shareholding of Directors and Key Managerial Personnel","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.indebtedness,Annexure A - MGT-9,-,"V. Indebtedness","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
mgt9.remuneration,Annexure A - MGT-9,-,"VI. Remuneration of Directors and Key Managerial Personnel","s.92(3). Annexure attached voluntarily on the partner's instruction of 20-08-2026; Rule 12 omitted the MGT-9 extract by G.S.R. 159(E) dated 05-03-2021.",select,Approved
